prefecture,city,yomigana,population,search_volume
北海道,札幌市,,1973395,0
北海道,札幌市中央区,さっぽろしちゅうおうく,248680,0
北海道,札幌市北区,さっぽろしきたく,289323,0
北海道,札幌市東区,さっぽろしひがしく,265379,0
北海道,札幌市白石区,さっぽろししろいしく,211835,0
北海道,札幌市豊平区,さっぽろしとよひらく,225298,0
北海道,札幌市南区,さっぽろしみなみく,135777,0
北海道,札幌市西区,さっぽろしにしく,217040,0
北海道,札幌市厚別区,さっぽろしあつべつく,125083,0
北海道,札幌市手稲区,さっぽろしていねく,142625,0
北海道,札幌市清田区,さっぽろしきよたく,112355,0
北海道,函館市,はこだてし,251084,0
北海道,（旧：函館市）,,241024,0
北海道,（旧：戸井町）,,2291,0
北海道,（旧：恵山町）,,2486,0
北海道,（旧：椴法華村）,,745,0
北海道,（旧：南茅部町）,,4538,0
北海道,小樽市,おたるし,111299,0
北海道,旭川市,あさひかわし,329306,0
北海道,室蘭市,むろらんし,82383,0
北海道,釧路市,くしろし,165077,0
北海道,（旧：釧路市）,,159011,0
北海道,（旧：阿寒町）,,4390,0
北海道,（旧：音別町）,,1676,0
北海道,帯広市,おびひろし,166536,0
北海道,北見市,きたみし,115480,0
北海道,（旧：北見市）,,102000,0
北海道,（旧：端野町）,,4384,0
北海道,（旧：留辺蘂町）,,5570,0
北海道,（旧：常呂町）,,3526,0
北海道,夕張市,ゆうばりし,7334,0
北海道,岩見沢市,いわみざわし,79306,0
北海道,（旧：岩見沢市）,,72184,0
北海道,（旧：北村）,,2320,0
北海道,（旧：栗沢町）,,4802,0
北海道,網走市,あばしりし,35759,0
北海道,留萌市,るもいし,20114,0
北海道,苫小牧市,とまこまいし,170113,0
北海道,稚内市,わっかないし,33563,0
北海道,美唄市,びばいし,20413,0
北海道,芦別市,あしべつし,12555,0
北海道,江別市,えべつし,121056,0
北海道,赤平市,あかびらし,9698,0
北海道,紋別市,もんべつし,21215,0
北海道,士別市,しべつし,17858,0
北海道,（旧：士別市）,,16734,0
北海道,（旧：朝日町）,,1124,0
北海道,名寄市,なよろし,27282,0
北海道,（旧：名寄市）,,23788,0
北海道,（旧：風連町）,,3494,0
北海道,三笠市,みかさし,8040,0
北海道,根室市,ねむろし,24636,0
北海道,千歳市,ちとせし,97950,0
北海道,滝川市,たきかわし,39490,0
北海道,砂川市,すながわし,16486,0
北海道,歌志内市,うたしないし,2989,0
北海道,深川市,ふかがわし,20039,0
北海道,富良野市,ふらのし,21131,0
北海道,登別市,のぼりべつし,46391,0
北海道,恵庭市,えにわし,70331,0
北海道,伊達市,だてし,32826,0
北海道,（旧：伊達市）,,31748,0
北海道,（旧：大滝村）,,1078,0
北海道,北広島市,きたひろしまし,58171,0
北海道,石狩市,いしかりし,56869,0
北海道,（旧：石狩市）,,54147,0
北海道,（旧：厚田村）,,1638,0
北海道,（旧：浜益村）,,1084,0
北海道,北斗市,ほくとし,44302,0
北海道,（旧：上磯町）,,34276,0
北海道,（旧：大野町）,,10026,0
北海道,当別町,,15916,0
北海道,新篠津村,,3044,0
北海道,松前町,,6260,0
北海道,福島町,,3794,0
北海道,知内町,,4167,0
北海道,木古内町,,3832,0
北海道,七飯町,,27686,0
北海道,鹿部町,,3760,0
北海道,森町,,14338,0
北海道,（旧：砂原町）,,3404,0
北海道,（旧：森町）,,10934,0
北海道,八雲町,,15826,0
北海道,（旧：八雲町）,,13833,0
北海道,（旧：熊石町）,,1993,0
北海道,長万部町,,5109,0
北海道,江差町,,7428,0
北海道,上ノ国町,,4306,0
北海道,厚沢部町,,3592,0
北海道,乙部町,,3403,0
北海道,奥尻町,,2410,0
北海道,今金町,,5072,0
北海道,せたな町,,7398,0
北海道,（旧：大成町）,,1280,0
北海道,（旧：瀬棚町）,,1615,0
北海道,（旧：北檜山町）,,4503,0
北海道,島牧村,,1356,0
北海道,寿都町,,2838,0
北海道,黒松内町,,2791,0
北海道,蘭越町,,4568,0
北海道,ニセコ町,,5074,0
北海道,真狩村,,2045,0
北海道,留寿都村,,1911,0
北海道,喜茂別町,,2156,0
北海道,京極町,,2941,0
北海道,倶知安町,,15129,0
北海道,共和町,,5772,0
北海道,岩内町,,11648,0
北海道,泊村,,1569,0
北海道,神恵内村,,870,0
北海道,積丹町,,1831,0
北海道,古平町,,2745,0
北海道,仁木町,,3180,0
北海道,余市町,,18000,0
北海道,赤井川村,,1165,0
北海道,南幌町,,7319,0
北海道,奈井江町,,5120,0
北海道,上砂川町,,2841,0
北海道,由仁町,,4822,0
北海道,長沼町,,10289,0
北海道,栗山町,,11272,0
北海道,月形町,,3691,0
北海道,浦臼町,,1732,0
北海道,新十津川町,,6484,0
北海道,妹背牛町,,2693,0
北海道,秩父別町,,2329,0
北海道,雨竜町,,2389,0
北海道,北竜町,,1724,0
北海道,沼田町,,2909,0
北海道,鷹栖町,,6567,0
北海道,東神楽町,,10127,0
北海道,当麻町,,6319,0
北海道,比布町,,3520,0
北海道,愛別町,,2605,0
北海道,上川町,,3500,0
北海道,東川町,,8314,0
北海道,美瑛町,,9668,0
北海道,上富良野町,,10348,0
北海道,中富良野町,,4733,0
北海道,南富良野町,,2376,0
北海道,占冠村,,1306,0
北海道,和寒町,,3192,0
北海道,剣淵町,,2926,0
北海道,下川町,,3126,0
北海道,美深町,,4145,0
北海道,音威子府村,,706,0
北海道,中川町,,1528,0
北海道,幌加内町,,1370,0
北海道,（旧：幌加内町）,,1370,0
北海道,増毛町,,3908,0
北海道,小平町,,2994,0
北海道,苫前町,,2936,0
北海道,羽幌町,,6548,0
北海道,初山別村,,1080,0
北海道,遠別町,,2520,0
北海道,天塩町,,2950,0
北海道,猿払村,,2611,0
北海道,浜頓別町,,3448,0
北海道,中頓別町,,1637,0
北海道,枝幸町,,7565,0
北海道,（旧：枝幸町）,,6067,0
北海道,（旧：歌登町）,,1498,0
北海道,豊富町,,3974,0
北海道,礼文町,,2509,0
北海道,利尻町,,2004,0
北海道,利尻富士町,,2458,0
北海道,幌延町,,2371,0
北海道,（旧：幌延町）,,2371,0
北海道,美幌町,,18697,0
北海道,津別町,,4373,0
北海道,斜里町,,11418,0
北海道,清里町,,3883,0
北海道,小清水町,,4623,0
北海道,訓子府町,,4677,0
北海道,置戸町,,2775,0
北海道,佐呂間町,,4875,0
北海道,遠軽町,,19241,0
北海道,（旧：生田原町）,,1582,0
北海道,（旧：遠軽町）,,15859,0
北海道,（旧：丸瀬布町）,,1214,0
北海道,（旧：白滝村）,,586,0
北海道,湧別町,,8270,0
北海道,（旧：上湧別町）,,4467,0
北海道,（旧：湧別町）,,3803,0
北海道,滝上町,,2421,0
北海道,興部町,,3628,0
北海道,西興部村,,1053,0
北海道,雄武町,,4199,0
北海道,大空町,,6775,0
北海道,（旧：東藻琴村）,,2124,0
北海道,（旧：女満別町）,,4651,0
北海道,豊浦町,,3821,0
北海道,壮瞥町,,2743,0
北海道,白老町,,16212,0
北海道,厚真町,,4432,0
北海道,洞爺湖町,,8442,0
北海道,（旧：虻田町）,,6874,0
北海道,（旧：洞爺村）,,1568,0
北海道,安平町,,7340,0
北海道,（旧：早来町）,,4358,0
北海道,（旧：追分町）,,2982,0
北海道,むかわ町,,7651,0
北海道,（旧：鵡川町）,,5253,0
北海道,（旧：穂別町）,,2398,0
北海道,日高町,,11279,0
北海道,（旧：日高町）,,1347,0
北海道,（旧：門別町）,,9932,0
北海道,平取町,,4776,0
北海道,新冠町,,5309,0
北海道,浦河町,,12074,0
北海道,様似町,,4043,0
北海道,えりも町,,4374,0
北海道,新ひだか町,,21517,0
北海道,（旧：静内町）,,18041,0
北海道,（旧：三石町）,,3476,0
北海道,音更町,,43576,0
北海道,士幌町,,5848,0
北海道,上士幌町,,4778,0
北海道,鹿追町,,5266,0
北海道,新得町,,5817,0
北海道,清水町,,9094,0
北海道,芽室町,,18048,0
北海道,中札内村,,3884,0
北海道,更別村,,3080,0
北海道,大樹町,,5420,0
北海道,広尾町,,6387,0
北海道,幕別町,,25766,0
北海道,（旧：忠類村）,,1427,0
北海道,（旧：幕別町）,,24339,0
北海道,池田町,,6294,0
北海道,豊頃町,,3022,0
北海道,本別町,,6618,0
北海道,足寄町,,6563,0
北海道,陸別町,,2264,0
北海道,浦幌町,,4387,0
北海道,釧路町,,19105,0
北海道,厚岸町,,8892,0
北海道,浜中町,,5507,0
北海道,標茶町,,7230,0
北海道,弟子屈町,,6955,0
北海道,鶴居村,,2558,0
北海道,白糠町,,7289,0
北海道,別海町,,14380,0
北海道,中標津町,,23010,0
北海道,標津町,,5023,0
北海道,羅臼町,,4722,0
青森県,青森市,あおもりし,275192,0
